fid,FT,Sub,Macs,Depth,Shelter,Slack,Predicted_Classification,Manual_sort
560,G,MIXED,MEDIUM,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
561,G,FINE,HIGH,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
562,G,FINE,HIGH,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
563,G,FINE,HIGH,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
564,G,FINE,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
568,P,MIXED,LOW,MID,FALSE,FALSE,Unsuitable,Unsuitable
570,G,FINE,LOW,MID,FALSE,TRUE,Unsuitable,Unsuitable
572,G,FINE,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
573,G,MIXED,LOW,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
579,G,MIXED,LOW,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
580,G,MIXED,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
581,G,FINE,MEDIUM,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
582,G,FINE,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
583,G,MIXED,MEDIUM,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
586,G,MIXED,HIGH,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
587,G,MIXED,HIGH,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
588,SLACK,MIXED,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
590,G,MIXED,LOW,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
600,G,MIXED,HIGH,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
607,G,MIXED,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
608,G,MIXED,HIGH,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
611,G,MIXED,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
614,G,MIXED,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
615,G,MIXED,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
622,P,COARSE,LOW,DEEP,FALSE,FALSE,Unsuitable,Unsuitable
623,G,MIXED,MEDIUM,DEEP,FALSE,FALSE,Unsuitable,Unsuitable
624,G,MIXED,MEDIUM,DEEP,FALSE,TRUE,Unsuitable,Unsuitable
625,G,MIXED,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
626,G,FINE,HIGH,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
629,G,FINE,MEDIUM,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
630,P,FINE,MEDIUM,SHALLOW,FALSE,FALSE,Unsuitable,Unsuitable
631,G,FINE,LOW,DEEP,FALSE,FALSE,Unsuitable,Unsuitable
638,G,MIXED,HIGH,SHALLOW,FALSE,FALSE,Unsuitable,Unsuitable
641,G,MIXED,MEDIUM,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
648,G,COARSE,MEDIUM,MID,FALSE,TRUE,Unsuitable,Unsuitable
654,G,MIXED,HIGH,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
659,G,FINE,HIGH,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
662,G,MIXED,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
664,G,MIXED,MEDIUM,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
670,U,FINE,HIGH,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
682,G,FINE,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
690,G,FINE,HIGH,SHALLOW,FALSE,FALSE,Unsuitable,Unsuitable
694,G,FINE,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
695,G,FINE,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
697,G,FINE,MEDIUM,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
701,G,MIXED,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
703,G,FINE,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
710,G,FINE,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
711,G,FINE,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
712,G,FINE,MEDIUM,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
713,G,FINE,HIGH,SHALLOW,FALSE,FALSE,Unsuitable,Unsuitable
718,G,MIXED,LOW,MID,FALSE,TRUE,Unsuitable,Unsuitable
719,G,FINE,MEDIUM,SHALLOW,FALSE,TRUE,Unsuitable,Unsuitable
720,G,FINE,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
721,G,FINE,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
722,G,FINE,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
726,G,FINE,LOW,SHALLOW,TRUE,FALSE,Unsuitable,Unsuitable
727,G,FINE,LOW,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
728,G,FINE,MEDIUM,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
731,G,FINE,HIGH,SHALLOW,TRUE,TRUE,Unsuitable,Unsuitable
733,G,FINE,LOW,MID,FALSE,FALSE,Unsuitable,Unsuitable
734,G,FINE,LOW,MID,FALSE,TRUE,Unsuitable,Unsuitable
